e (Vokal über Konsonant); عَلامَت ِ کَسرَه
- Freiheit von jeder Art Erdrosselung; آزادى از هر نوع ِ اِختِناق
erdrücken;
- jem. aus Liebe erdrücken; کِسى را از مُحَبَت دَر آغوش فِشُردَن، ـ خَفه کَردَن
erdrückend;
- erdrückende Last; بار ِ خُرد کُنَنده
- erdrückender Beweis; دَلیل ِ شِکَنَنده
- erdrückende Mehrheit; اَکثَریَت ِ غالِب
- jem. mit erdrückender Übermacht angreifen; کِسى را با سَطوات ِ تَمام حَمله کَردَن
Erdrutsch; زَمین لَغزه، ریزِش ِ خاک ِ کوه
Erdrutschsieg; پیروزى ِ فَراگیر، ـ گُستَرده
erdulden; پا نِگَه داشتَن، تَحَمُل کَردَن
- Unterdrückung von ... nicht erdulden; سَر کوب ِ ... تاب نِمى آوَرد
Erduldung; تَحَمُل، حوصِله
Erdungskabel; سیم ِ زَمین
ereifern (s. -); جوش خوردَن، به هَیَجان آمَدَن، آتَشى شُدَن
- s. künstlich ereifern; آب بَر آسمان اَنداختَن، ظاهِراً سَخت خَشمگین شُدَن
ereignen (s. -); صورَت گِرِفتَن، ـ پَذیرُفتَن، واقع شُدَن، وُقوع یافتَن، اِتِفاق اُفتادَن
- etwas ereignet s.; قَضیه رُخ میدَهَد
- Trennung ereignet sich; تَفرِقه می اُفتَد
Ereignis; (pl.) پیش آمَد، حادِثه (حَوادِث)، سانِحِه (سَوانِح)، رویداد، سَرگُذَشت
- Ablauf der Ereignisse; جَریان ِ قَضایا، ـ وَقایع
- einem frohen Ereignis entgegensehen; دَر اِنتِظار ِ وُقوع ِ حادِثهٔ خوشى بودَن
- zukünftige Ereignisse kündigen s. an; حَوادث ِ آینَده بَر سَر ِ ما سایه مى اَفکَنَد
ereilen;
- bevor uns das Unglück ereilt; تا بَلایى سَرِمان نَیامَده
- gestern hat uns ein Unglück ereilt; دیروز بَلائى سَر ِ ما آوَرده
- es ereilte sie das, was alle ereilt, die ...; بَر آنان هَمان رَفت که بَر هَمه ... می رَوَد
Erektion; نُعوظ، حالَت ِ شَق
Eremit; مُعتَکِف
Eremitage; صومعِه، مَحَل ِ اِنزِواء
erfahrbar; مُیَسِر بودَن، قابِل ِ تَجرُبه
- erfahrbar, möglich; مُیَسِر
- geselliges Leben ist dort erfahrbar; زِندِگى ِ اِجتِماعى دَر آنجا مُیَسِر است
erfahren;
- von jem. etwas erfahren;  .چیزى را از کِسى شِنیدَن، از چیزى خَبَر گِرِفتَن، ـ اِطِلاع گ.، ـ مُطَلَع شُدَن، ـ مَسبوق ش
- (durch Zufall) erfuhr er ...; باد به گوشِش رِساند، کَلاغ بَرایَش خَبَر بُرد
- soweit ich erfahren habe; به اِندازه اى که مَن فَهمیدَم، ـ شِنیدَم
- er hatte von x erfahren, was der von y erfahren hat; او از فِلان کس کَسب ِ اِطِلاع کرَده بود که فِلان کس از کِسى دیگَر مُطَلَع شُده بود
- Unrecht erfahren; ظُلم دیده، سِتَم دیده
- erfahrener Mensch; آدَم ِ کار کُشته، ـ مُجَرِب، ـ کار دیده، ـ کارآمَد، ـ با تَجرُبه، ـ آزموده، سابِقه دار، - حاذِق، - آبدیده
- welterfahren; دُنیا گَشته، جَهان دیده
Erfahrung; کاردانى، آگاهى، شِناخت، تَجرُبه، پُختگى
- lange Erfahrung; سالهاى ِ مُمارَسَت، ـ تَجرُبیات
- er hat eine 10 jährige Erfahrung; او ۱۰ سال داراى ِ سابِقه است، با ۱۰ سال تَحرُبه
- gründet auf der Erfahrung vieler Jahre; از مُمارِسَت ِ سالهاى ِ سال بُنیان گِرِفت
- etwas in Erfahrung bringen; چیزى را مَعلوم کَردَن، تَه و توى ِ چیزى را دَر آوَردَن، بوى چیزى را بُردَن
Erfahrungsaustausch; تَبادُل ِ تَجرُبه
Erfahrungsschatz; خَزینهٔ خاطِرات
erfassen;
- erfassen (*: ergreifen); مُستولی شُدَن
- erfassen (*: fassen); دَرک کَردَن، فَهمیدَن
- erfassen (*: umfassen); دَر بَر داشتَن
- um den Willen Gottes zu erfassen; جَهَت ِ پِى بُردَن به خواست ِ خُدا
- Furcht erfasst ihn; تَرس بَر او مُستولى می شَوَد
- ein Schütteln erfasst ihn; بَدَن ِ او با رَعشه به لَرزِش میُفتَد، لَرزشِى اورا فَرا میگیرد
Erfassung;
- statistische Erfassung; آمارگیرى
erfinden; اِختِراع کَردَن، بافتن
- frei erfunden; از باد ِ هَوا، خود ساخته
- erfundene Geschichte erzählen; داستانى را که ساخته بود تَعریف کَردَن
Erfinder; (pl.)  (مُختَرِع (مُختَرِعین
erfinderisch;
- Liebe ist erfinderisch; مُحَبَت چاره ساز است
Erfindung; اِختِراع، اِبداع
- das ist nicht meine Erfindung; این دَر آوَردى ِ مَن نیست
- Erfindungen & Entdeckungen; مُختَرِعات و کَشفیات
Erfindungsgabe; دَر تَلفیق ِ خود، قُرهٔ خیالبافى
Erfolg; مُوَفَقیَت، توفیق، کامیابى، سوکسه
- das Restaurant hat Erfolg; کار ِ رِستوران گِرفته است
- Erfolg erringen; به مُوَفَقیَت نایِل شُدَن، اِحراز ِ مُوَفَقیَت
- er hat Erfolg; او کامیاب است، به مُراد میرسد، کارِش گُل مى کُنَد
- er hat keinen Erfolg; او نَتیجه نَگِرِفت، به نَتیجه نَرِِسید
- jem. Erfolg wünschen; بَراى ِ کِسى کامرانى آرِزو کَردَن
- Erfolg verzeichnen; مُوَفَقیَت را به ثَبت رِساندَن
- meine Rede zeigte Erfolg; حَرفَم گُل کَرد
- ich blieb ohne Erfolg; تیرَم به سَنگ خورد
- ohne Erfolg kam er vom Fischen; با دَست ِ خالى از ماهیگیرى بَرگَشت
- mit vollem Erfolg kam er zurück; با دَست ِ پُر بَرگَشت
- der Weg zum Erfolg; راه ِ کامیابى
- die Medizin bringt keinen Erfolg; این دارو هیچ اَثَرى نِمی کُنَد، ـ به جائى نَرِِسیده است
erfolgen; اِجراء کَردَن
- etwas erfolgt in 3 Etappen; چیزى دَر سه مَرحَله است
erfolglos; دَست از پا دِرازتَر
- erfolglose Reise; مِثل ِ چُس رَفتَن و مِثل ِ گوز آمَدَن
- erfolglos bleiben; .بى نَتیجه ماندَن، عَقیم م.، سَر ِ کِسى بى کُلاه م
- ich blieb erfolglos; تیرَم به سَنگ خورد
- erfolglose Bemühung; تَلاش ِ نافَرجام
- Bemühungen erfolglos sein lassen; کوشش ِ کِسى را عَقیم گُذاشتَن
- erfolgloser Mensch; آدَم ِ ناکام
Erfolglosigkeit; ناکامى، عَدَم ِ توفیق
erfolgreich; کام بین، مُوَفَق، کام رَوا
- erfolgreich sein; کامیاب شُدَن، فائِز ش.، مُوَفَق شُدَن به ..، بَر خِنگ ِ مُراد سَوار شُدَن
- er wurde erfolgreich in ...; او مُوَفَق به .. شُده است
- in der Firma erfolgreich sein; دَر شِرکَت دَست و پا کَردَن
- erfolgreiche Besteigung des Berges; صُعود ِ مِیسور از کوه
- erfolgreiche Bemühungen; کوشِش ِ وافِر
- auf Grund erfolgreicher Zensur; به یَمن ِ وُجود ِ سانسور
- die in der Prüfung Erfolgreichen; قَبول شُدِگان ِ اِمتِحان
Erfolgsaussichten; اُمید ِ مُوَفَقیَت
Erfolgsleiter;
- die Erfolgsleiter erklimmen; مَدارج ِ تَرَقى طِى کَردَن
erforderlich;
- erforderlich sein; مَطلوب بودَن
- es ist erforderlich, dass ..; از واجِبات است که، اِقتِضا مى کند، مُقتَضى است، ایجاب مى کُنَد که، واجِب است که
- falls erforderlich; بِقَدر ِ لازِم، ـ لُزوم
- dringend erforderlich; نیاز ِ مُبرَم
- die erforderlichen Schritte; اِقدامات ِ مُقتَضیه
- die erforderliche Anzahl erreichen; بِحَد ِ نِصاب رِِسیدَن
- wie auch immer erforderlich; هَر طور اِقتِضاء کُنَد
- erforderliche Sorgfalt; دِقَت ِ لازِم، ـ واجِب
erfordern; .مُستَلزِم بودَن، ایجاب کَردَن، تَقاضاى ِ چیزى را کَردَن، چیزى را مُلزَم ک
- diese Situation erfordert Eile (*: verlangen); این وَضع عَجَله را ایجاب می کُنَد
- das erfordert den ganzen Mann; مَرد میخواهَد
- erfordert die Notwendigkeit zu ...; که نیاز به ... مى گَردانَد
- dieser Plan erfordert Geduld; این بَرنامه صَبر طَلَب مى کُنَد، ـ صَبر مى خواهَد
- der Plan erfordert eine Strategie; بَرنامه مُستَلزِم  ِ اِستراتِژى است
Erfordernis; ضَرورَت، اِلزام، مُقتَضى، اِقتِضاء
- Erfordernisse der Planung; اِقتِضاى ِ بَرنامه ریزی، مُقتَضیات ِ ـ
erforschen; .کَند و کاو کَردَن، تَفَحُص ک.، تَجَسُس ک.، تَحقیق ک.، وارِِسیدِگى ک
Erforschung; کاوِش، تَفَحُص، تَجَسُس، تَحقیق، تَتَبُع
- Erforschung einer Sache; تَحقیقات ِ موضوع
- Erforschung des Lichtes; پِژوهِش ِ نور
erfreuen; به کِسى لِذَت دادَن، کِسى را خوشحال کَردَن، ـ کِیف ک.، ـ فَرَح بَخشیدن، دِل ِ کِسى را شاد کَردَن
- s. erfreuen; تَمَتُع بُردَن، لِذَت ب.، شاد شُدَن، مَسرور ش.، خودرا حَظ کَردَن
- s. guter Gesundheit erfreuen; از سَلامَت و عافیَت بَرخوردار بودَن، ـ مُتَمَتع بودَن
- s. an der Gemeinschaft mit jem. erfreuen; از مُشارِکَت با کِسى لِذَت بُردَن، ـ مُستَفیض شُدَن
- der Wein erfreut das Herz des Menschen; شَراب دِل ِ آدَم را به حال مى آوَرَد، ـ لِذَت مى بَرَد
- sie hat mich mit ... erfreut; او چِشمَم را با ... روشَن کرَده است
- ich war sehr erfreut; مَن خِیلی مَشوف شُدَم
erfreulich;
- die Lage ist nicht erfreulich; اوضاع خوشایَند نیست، ـ مورِد ِ پَسَند ـ، ـ مَسَرَت بَخش ـ
- die Arbeit geht erfreulich voran; کار بَر وَفق ِ مُراد پیش مى رَوَد
erfreut;
- erfreut werden durch; از .. مُستَفیض شُدَن
- ich bin erfreut, Sie zu sehen; از دیدَن ِ شُما خِیلى خوشحالَم، ـ مَشعوف هَستَم
erfrieren; از سَرما مُردن، یَخ زَدَن
- ich bin fast erfroren; مَن داشتم یَخ مى کَردَم
- die Blumen sind erfroren; گُلها یَخ زَده است، گُلهارا سَرما زَده است
- erfrorenes Obst; میوهٔ سَرما سوخته، ـ سَرما زَده
Erfrierung;
- Erfrierung ersten Grades; سَرمازَدِگى ِ بَدَن دَرَجهٔ اَوَل
erfrischen (s. -); خودرا تَر و تازه کَردَن، خُنَک ک.، قُوَت گِرِفتَن
- die Luft erfrischt sie; هَوا حالِشان را جا می آوَرَد
erfrischend; خُنَک کُنَنده
- ihr Aussehen ist erfrischend; ظاهِریش تَرگُل وَرگُل است
- erfrischendes Wetter; هَواى ِ خُنَک، ـ روح بَخش
Erfrischungsbad;
- sie kam, um in .. ein Erfrischungsbad zu nehmen; بَراى ِ آب ِ تَنى به .. آمَد
Erfrischungsgetränk; نوشابهٔ خُنَکى
erfüllbar; انجام پَذیر، ایفاء شُدَنى، قابِل ِ اِجراء
- nicht erfüllbar (Aufgabe, Erwartung); شاق، شاقه
erfüllen;
- s. erfüllen; .اَنجام گِرِفتن، تَمام شُدَن، عَمَلى ش
- jemandes Wunsch erfüllen; به کام رِسانیدَن، خواسته کِسى را به اَنجام ر.، مُراد ِ کِسى را دادَن
- die Bitte von jem. erfüllen; دَرخواست ِ کِسى را پَذیرُفتَن
- Pflicht erfüllen; اَنجام ِ تَعَهُدات، وَظیفهٔ خودرا اَداء کَردَن، از آب دَر آمَدَن، حاصِل شُدَن
- Prophetie erfüllen; پیشگوئى را به اَنجام رِسانیدن، ـ به وُقوع پِیوَستن، به پیش گوئى تَحَقُق بَخشیدَن، پیشگوئى تَمام می شَوَد
- eine Verheissung erfüllen; وَعده را جامهٔ عَمَل پوشانیدَن، وَعده را اَنجام گِرِفتَن
- Rolle erfüllen; نَقش را ایفاء کَردَن
- Vertrag erfüllen; قَرار داد را اِجراء کَردَن
- meine Hoffnung wird s. erfüllen; اُمیدم بَر خواهَد آمَد
- Freude und Heiterkeit erfüllen das Leben; شادابى و سَرزِندِگى حَیات را پُر مى کُنَند
- Angst erfüllte sein Herz; تَرس توی ِ دِلِش خانه کَرد
- er erfüllt die Vorausetzungen für diese Arbeit; او واجِد ِ شَرایِط ِ کار است
- ich habe mein Versprechen erfüllt; وَعدهٔ خودرا بِسَر بُردَم
- Geruch erfüllt den Raum; بو تَمام ِ اُطاق را فَرا مى گیرَد
- ihr lautes Schluchzen erfüllte das Haus; هاى هاى ِ گِریه اَش خانه را پُر کَرد
- sein Wunsch wird erfüllt; خواست ِ او اِرضاء مى شَوَد، ـ بَر آوَرده مى شَوَد
- dieser Wunsch hat s. erfüllt; این آرِزو تَحَقُق یافته است
- ... hat sein Innerstes so erfüllt, dass ..; چیزى بِطورى دَر رَگ و پِى ِ او ریشه دَوانیده بود که
- er ist von Begeisterung erfüllt; از شور و نِشاط پُر است، ـ بَرخوردار است، آگَنده است
Erfüllung; اَداء، ایفاء، اَنجام
- die Erfüllung eines Versprechens; بسَر بُردِگى ِ وَعده، اَنجام ِ ـ، ایفاى ِ ـ، تَحَقُق ِ ـ، بَر آوَرده شُدَن ِ ـ
- Erfüllung der Pflichten; اَداى ِ وَظائِف، اَنجام ِ ـ
- die Erfüllung der Hoffnung; بَرآوَردِگى ِ اُمید
Erfüllungsgehilfe; یاروى ِ خوشخِدمَتى، دَستیار ِ تَحَقُق ِ قَرار داد
ergänzen; تَکمیل کَردَن
- die einander ergänzen; که مُکَمِل ِ یِکدیگَرَند
- s. gegenseitig ergänzen; دیگَران کاشتَن ما خوردیم ما می کاریم دیگَران بُخورنَد
- Mann & Frau ergänzen s.; زَن و مَرد مُکَمِل ِ هَمدیگَرَند
- ergänzte Ausgabe dieses Buches; چاپ ِ مُکَمِل ِ این کِتاب
Ergänzung; تَکمیل
- das Gesetz ... in Ergänzung zu ...; قانون ِ ... مُنضَم به
ergänzungsbedürftig; مُحتاج به تَکمیل
Ergänzungsgesetz; قانون ِ تَکمیلى
