Saal (m); سالُن
- du musst auf leisen Sohlen gehen; آسه بيا آسه بُرو که گُربه شاخَت نَزَنه
Sohn; (pl.) اِبن (اَبناء)، پِسَر
Sojabohne; لوبياى ِ چيتى، ـ سويا
solange;
- solange wie; ماداميکه، تا زَمانيکه
- solange ich leben werde, ..; تا عُمر دارَم از آن ِ
- solange Leben in mir ist, ...; ... ماداميکه جانَم دَر مَن است، تا ما باشيم
- solange die Welt besteht; تا دِنيا دِنياست
solar; خورشيدى
Solartechnik; تِکنيک بَر اَساس ِ اِنِرژى ِ خورشيدى
solch;
- ein Mensch mit solch ...; آدَمى با چِنان ...، ـ با چِنين
- ein solches Leben ertragen; زِندِگى ِ اينچِنين را تاب آوَردَن
- sie begegnetem einem solchen Widerstand, dass ...; با چِنان مُقاوِمَت مُواجه شُدَند که
Soldat; سَرباز، اَسکَر
Söldner; اَجير، سَرباز ِ مُزدور
- Söldner dingen; کِسى را اَجير کَردَن
Söldnerheer; اَرتِش ِ مُزدوران
solidarisch; هَمبَسته
- s. solidarisch erklären mit; به کِسى اِعلام ِ هَمبَستِگى کَردَن
Solidarität; هَمبَستِگى
solide; مُحکَم، با دَوام
Solist; تَک خوان، ـ نَواز
Soll;
- das Soll erfüllen; بِحَد ِ نِصاب رِسانيدَن
sollen; بايِستَن
- sollte Gott nicht Segnungen für uns bereit halten?; خُدا چه بَرَکَتهاى ِ عالى مى بايِست بَراى ِ ما حاضِر کَرده باشَد؟
- was solls?;ؤ مُهِم نيست چه توفير مى کُنَد؟، توفير نَدارَد!، چيزی می خواهَد چه کُنَد؟
- was soll das (z.B. eine Reise)?; آبَش نَبود نانَش نَبود، ... اش چه بود؟؛ بِطور ِ مِثال: آبَت نَبود نانَت نَبودتوط ِ اين بَرف سَفَر کَردَنَت چه بود؟
Soll-Leistung; قُدرَت ِ خُروجى
Sollvorschrift; دَستور ِ اِجبارى
Soll-Zeit; زَمان ِ اِختِصاص يافته
Solo; تَک نَوازى
Solquelle; چِشمه آب ِ مَعدَنى
Sommer; تابِستان
- Sommer -; ـ تابِستانى
Sommersitz; اِقامَتگاه ِ تابِستانى، يِيلاق
Sommersprossen; جوش ِ غُرور، کَکمَک
Sonde; ميل
Sonderbeauftragter; نِمايَندة مَخصوصى
Sonderfall; مورِد ِ خاص، ـ اِختِصاصى
sondern; بَل، بَلکه، ليکِن
sonderlich;
- ich war nicht sonderlich unzufrieden; چَندان ناراضى نَبودَم
Sondernutzung; اِجازة اِنتِفاع ِ اِختِصاصى
Sonderparteitag; کُنگرة فوق اُلعادة حِزب
Sondersitzung; جَلَسة ويژه
Sonderstatus; وَضِع خاص
Sonderstellung; موقِعيَت ِ مُمتاز
Sonderzug; قَطار ِ ويژه
sondieren; اِستِمزاج کَردَن
Sondierung; اِستِمزاج، اِکتِشاف
Sonnabend; شَنبه
Sonne; آفتاب، خُورشيد
- die Sonne scheint; هَوا آفتابى است، آفتاب است، آفتاب مى تابَد
- beim ersten Strahl der Sonne; هَمينکه آفتاب تيغ زَد
- der Sonne zugewandt (z.B. ein Zimmer); اُتاق آفتاب رو است، - آفتاب گير
sonnen (- s.); آفتاب خوردَن
Sonnenaufgang; اَذان ِ صُبح، طُلوع ِ خُرشيد
- bei Sonnenaufgang; با سَر زَدَن ِ خُرشيد
sonnenbestrahlt; آفتابرو
Sonnenblume; گُل ِ آفتاب گَردان
Sonnenbrand; آفتاب سوختِگی
Sonnenbrille; عِينَک ِ آفتابى، - دودي
Sonnenfinsternis; (total, teilweise)  کُسوف (کُلى، جُزئى)، خورشيد گِرِفتِگى
sonnengebräunt; آفتاب خورده
sonnengebleicht; آفتاب خورده
- sonnengebleichte Knochen; اُستُخوانهاي ِ آفتاب خورده
Sonnenscheibe; قُرص ِ خورشيد
Sonnenschutz; سايه بان
Sonnenstich; آفتاب زَدِگى
Sonnenstrahl; پَرتو ِ آفتاب
Sonnensystem; مَنظومة شَمسى
Sonnenuhr; ساعَت ِ آفتابى
Sonntag; يِکشَنبه
sonst;
- .. und sonst nichts; و نَه بَر چيزى سَواى ِ آن يا وَراى ِ آن، ديگه هيچى
- sonst ist er ...; او دَر موقع ِ عادى
- im Gegensatz zu sonst; بَر خَلاف ِ هَميشه
- sonst käme ihnen der Gedanke nicht;  اَگَر نَه فِکر ِ ... به سَرِشان نِمى زَد
Sophisterei; سَفسَطه بازى
Sopran; زير خوان، صِداى ِ زير
Sorge;
- er war in Sorge um ...; او جِگَر سوز ِ ... بود
- ich war in Sorge um dich; دِلَم بَرايَت تَنگ شُده، نِگَرانيَت بودَم، دِلواپَس ِ تو بودَم
- es besteht kein Grund zur Sorge; اين که ديگه غُصه نَداره
- lass das meine Sorge sein; آن پاى ِ مَن است
- borgen bringt Sorgen; قَرض مِقراض ِ مُحَبَت است
- nun mache ich mir keine Sorgen ums Sterben, weil ...; حال مَرا غَم ِ مُردن نيست زيرا
- Sorge tragen für jem.; به کِسى نيک مُتَوَجه شُدَن، به کِسى رِسيدِگى کَردَن
sorgen;
- dafür sorgen, dass .. (*: s. kümmern); حَواس به کِسي بودَن
- für ausreichend Platz sorgen; جاى ِ کافى تَعبيه کَردَن
- sorge für ihn!; بِهِش بِرِس!
sorgenlos; بى نِگَران
sorgenvoll; حالَت ِ گِرِفته
Sorgfalt; تَوَجُه، دِقَت، اِهتِمام، مُواظِبَت
- äusserste Sorgfalt; مُنتَهاى ِ دِقَت
- erforderliche Sorgfalt; دِقَت ِ لازِم
sorgfältig; دَقيق، با دِقَت
- mit sorgfältiger Schrift; با خَط ِ خوش و خوانا
sorglos; لااُبالى، بى مُبالاتى، فارِغ اُلبال
- er schläft sorglos; با خيال ِ راحَت مى خوابَد
Sorte;
- er war von der Sorte Mensch; او از آن قَماش ِ اِنسانها بود، ـ از سِنخ ِ ـ، از قَبيل ِ ـ
- er war einer von der schlimmsten Sorte; او از آن قُرُمساقها بود
- einige Sorten Wurst; چَندين رَقَم ِ کالباس
Sortierung (von Ware); رَقم بَندى
Sortiment; مَجموِعة جور
Sosse; سُس، آب ِ خورِشت
Soterioligie; رَستِگارى شِناسى
Souffleur; اِلقاء کُنَنده، سوفلور
Souvenir; راهواره، رَه آوَرد، سوغات
souverän; مُطلَق،  خود مُختار، بَرتَر
- Souverän, Herrscher; مَتبوع
Souveränität; مَتبوعيَت، بَرتَرى
- Souveränität des Parlamentes; حُکميَت ِ مَجلِس
- Volkssouveränität; حاکِميَت ِ مِلى
soviel;
- soviel Ausgaben hat er nicht; هَزينة چَندانى نَدارَد
- sammle, soviel du kannst; تا مى تَوانى جَمع کُن
- soviel du willst, geben sie dir; تا بِخواهى  بِهِت مى دَهَند
sowas;
- sowas gibt es nirgends; لِنگه نَدارد
soweit;
- es ist sogar soweit gekommen, dass; کار به هَمين چيز کِشيده بود که
- warum hast du es soweit kommen lassen?; چِرا گُذاشتى کار به اينجا بِکِشَد؟
- bis es soweit kam, dass sie verstand, dass ich sie anschaute ..; تا مى آمَد بِفَهمَد مَن دارَم نِگاهِش کُنَم
sowie; هَمچِنين
sowieso; دَر هَر حال، خواه ناخواه، دَر هَر صورَت
sowohl;
- sowohl als auch; اَعَم از
- sowohl Arbeiter als auch Kinder; کارگَران اَعَم از بَچه ها، هَم کارگَران و هَم بَچه ها
sozial; اِجتِماعي
- soziale Grundrechte; حُقوق ِ بُنيادى ِ اِجتِماعى
- Recht auf soziale Sicherheit; حَق ِ تأمين ِ اِجتِماعى، ـ خِيريه، ـ خِيريَت
Sozialarbeiter; مَدَدکار
Sozialfonds; صَندوق ِ اُمور ِ اِجتِماعى
Sozialfürsorge; مُراقِبَت ِ اِجتِماعى، اِدارة رِفاه ِ اِجتِماعى
sozialisieren; اِجتِماعى کَردَن
Sozialisierung; اِجتِماعى سازى، جامِعه پَذيرائى
Sozialismus; سوسياليسم
- real existierender Sozialismus; سوسياليسم ِ واقِعاً موجود
Sozialprodukt; توليد ِ مِلى
- Nettosozialprodukt; توليد ِ خالِص ِ مِلى
Soziologie; جامِعه شِناسى
Soziussattel; جاى ِ اِضافى ِ موتورسيکلِت
sozusagen; به اِصطِلاح
Spachtel; کاردَک
Spachtelmasse; مَصطَکى، بِطانه
Spaghetti; اِسپاگِتى
Späher; طَلايه دار
Spähtrupp; طَلايه
Spalier; داربَست
Spalt; شِکاف، دَرز
spaltbar;
- spaltbares Material; مادة تَجزيه پَذير
spalten; مُتَفَرِق کَردَن، شِکاف دادَن
- s. spalten; مُنشَعِب شُدَن
- in der Mitte spalten; دو قاچ کَردَن
Spaltöffnung; روزَنه دَر گياهان
Spaltprozess; پروسة شِکافَت
Spaltung; تَفرِقه، تَجزيه، جُدائى، شِکافت، نِفاق، شَقاق
- Parteispaltung; اِنشِعاب ِ حِزبى، اِنشِقاق ِ ـ
Späne; خَش و خاش، کِرِشته
- Eisenfeilspäne; بُرادة آهَن، تَراشة ـ
Spange; سَگَگ
Spanien; اِسپانيا
spanisch; اِسپانى، اِسپانيائى
Spann (beim Fuss); قوزَک ِ پا
Spannbacke; فَک ِ مَهار کُنَنده
Spannbeton; بِتُن ِ فِشُرده شُده
Spanne;
- Spanne, Handbreite; وَجَب
spannen; کِشيدَن
- Bogen spannen; کَمَررا زه زَدَن
spannend; هَيَجان آميز، پُر هَيَجان، مُهَيِج
Spannseil; شِکيل، شِنيل
Spannung; تَنِش، تَشَنُج، هَيَجان
- Spannung (phys.); پِنانسيل
- Spannung (Strom); وُلتاژ
- Dauerspannung; کِشِش ِ مُمتَد
- Hochspannung; جَريان ِ بَرق ِ قَوى
Spannungsabfall; اُفت ِ وُلتاژ
Spannungsgebiet; مَنطَقة تَشَنُج
Spannungsherd; مَنشاء ِ تَشَنُج
Spannungsprüfer; فاز مِتِر
Spannungsregler; ناظِم ِ وُلتاژ
Spannungswandler; ترانسفورماتور ِ وُلتاژ
Spannvorrichtung; تَجهيزات ِ نِگَهدارى
Spannweite;
- Spannweite (einer Brücke); چِشمة پُل
- Spannweite (Flugzeug); پازه
Spanungsgrösse; فِلِزبُرى
Sparbuch; دَفتَرچة پَس اَنداز
sparen; پَس اَنداز کَردَن
- ich möchte Ihnen die Mühe sparen; دِلَم ميخواهَد زَحمَت ِ شُمارا کَم کُنَم، ـ زَحمَت را از دوش ِ شُما بَر دارَم##

- sparen Sie mir die Mühe; زَحمَتَم نَکُنيد##

- diese Mühe konnte ich mir sparen; مَن مُعاف از زَحمَت شُدَم#�

- sparen Sie mir die Einzelheiten (ma ́foww); از جُزئياتِش مَعفُوَم داريد#�

Spargel; مارچوبه
Sparkasse; صَندوق ِ پَس اَنداز، بانک
spärlich; کَم مايه
- spärlich (z.B. Haarwuchs); تُنُک
Sparmassnahmen; اِقدامات بَراى ِ صَرفه جوئى
Sparren; شاه تير) زير شيروانى)
sparsam; قِيمَتَش مُناسِب است
Spass;
- Spass haben an ..; از چيزى حِسابى کِيف کَردَن
- hat nichts mit Spass zu tun; با شوخ سَر ِ کار نَدارَد
- Spass machen;  .شوخى کَردَن، مِزاح ک
- es macht mir Spass; خوش مى گُذارَم
- ich dachte, er macht Spaß mit mir; خيال مي کَردَم سَر به سَرَم مي گُذارَد
- das machte keinen Spaß mehr; اين جوري ديگه حَلاوَتي نَدارَد
- ihm macht die Arbeit Spass; او کارى را خوش داشت
- Spass beiseite; از شوخى گُذَشته
- er versteht keinen Spass; شوخى سَرَش نِمى شَوَد
- Spass und gute Laune; عَياشى و خوش گُذَرانى
- als ob es mit ihm spassen würde; اِنگار که با او شوخى مى کُنَد
spassig; مُتَفَنُن، شوخى
- er machte eine spassige Bemerkung; او حَرف با مَزه اى زد
Spassmacher; اين آدَم ِ خوش مَزه است، مازِح، دَلقَک، آدَم ِ شوخ
spät;
- spät in der Nacht; شَب ِ دير وَقت
- wie spät ist es?; ساعَت چَند است؟
- Lieber zu spät, als nie; دير آى و دُرُست آى
- wenn ich schon zu spät komme, dann wenigstens nicht mit leeren Händen; اَگَر دير آمَدَم شير آمَدَم
später; مِنبَعد، بَعداً
- früher oder später ...; اين دَم آن دَم است که
- spätere Zeiten; اَيام ِ طَويل، زَمان ِ مُتأخِر
Spaten; بيل
Spatz; گُنجِشک
- Besser der Spatz in der Hand, als die Taube auf dem Dach; قَسَم ِ حَضرَت ِ عَباس را باوَر کُنَم يا دُم ِ خُروس را؟، سِيلى ِ نَقد به است از حَلواى ِ نَسيه، فُرصَتهاى ِ کوچِک را غَنيمَت بشُماريم
spazieren; هَوا خوردَن، گَردِش کَردَن
- Herumspazieren; گَردِش و خُرامِش
spazierengehen; گَردِش رَفتَن، قَدَم زَدَن
Spaziergang; گَردِش
- machen wir einen Spaziergang; بِرَويم قَدَم بِزَنيم، بِرَويم گَردِش
Spazierstock; چوب دَستى
Specht; دار کوب
Speck; شَحم، چَربى
speckig; چَرب
Spediteur; صاحِب ِ شِرکَت ِ حَمل و نَقل
Spedition; شِرکَت ِ حَمل و نَقل
Speer; نِيزه
Speerspitze; سِنان، نوک ِ نِيزه
Speerwerfen; نِيزه زَنى، پَرتاب ِ نِيزه
Speiche; پَره
- Radspeiche; پَرة چَرخ
Speichel; ريق، تُف، بُزاق
- Speichel tropft von seinen Lefzen; آب ِ دَهانَش می اُفتَد، آب راندَن آن از خوردَن چيزي تُرش و جُز آن و مَجازا سَخت شيفتة  چيزي شُدَن
Speichelfluss; سَيَلان ِ بُزاق
Speichellecker; تَمَلُق گو
Speicher; اَنبار، کُروج، مَخزَن
- Speicher (z.B. bei Computer); حافِظه
speichern; (präs.) اَنباشتَن (مى اَنبارَد)، ذَخيره کَردَن
Speicherung; ذَخيره
Speise; خوراک، غَذا
Speisekammer; گَنجه
Speisekarte; صورَت ِ غَذا
speisen; خوردَن
Speisereste (zwischen den Zähnen); خُلالَت
Speiseröhre; لولة مَرى
Speisesaal; سالُن ِ غَذا خورى
Speisezutaten; چاشنى ِ غَذا
Speisung (von Hungrigen); اِطِعام ِ گُرُسنِگان
Spektakel; قيل و قال، سَر و صِدا
- Spektakel veranstalten; قيل و قال راه اَنداختَن
- mach kein Spektakel; جيغ و داد راه نَيَنداز
spektakulär; فوق العاده
Spektrallinie; خَط ِ طِيفى
Spektroskop; طِيف بين
Spektrum; طِيف
- Spektrum der Sonne; طِيف ِ شَمسى
- das ganze Spektrum der Völker; تَمام ِ گوناگونى ِ مِلَتها
Spekulant; مُحتَکِر، سوداگَر، سَفته باز، بورس باز
Spekulation;
- Spekulation, Vermutung; تَخَيُل، نَظَرپَردازى، گُمانه زَنى، تَوَهُم
