Saal (m); سالُن
- Spannweite (Flugzeug); پازه
Spanungsgrösse; فِلِزبُرى
Sparbuch; دَفتَرچهٔ پَس اَنداز
sparen; پَس اَنداز کَردَن
- ich möchte Ihnen die Mühe sparen; دِلَم میخواهَد زَحمَت ِ شُمارا کَم کُنَم، ـ زَحمَت را از دوش ِ شُما بَر دارَم
- sparen Sie mir die Mühe; زَحمَتَم نَکُنید
- diese Mühe konnte ich mir sparen; مَن مُعاف از زَحمَت شُدَم
- sparen Sie mir die Einzelheiten (ma ́foww); از جُزئیاتِش مَعفُوَم دارید
Spargel; مارچوبه
Sparkasse; صَندوق ِ پَس اَنداز، بانک
spärlich; کَم مایه
- spärlich (z.B. Haarwuchs); تُنُک
Sparmassnahmen; اِقدامات بَراى ِ صَرفه جوئى
Sparren; شاه تیر) زیر شیروانى)
sparsam; قِیمَتَش مُناسِب است
Spass;
- Spass haben an ..; از چیزى حِسابى کِیف کَردَن
- hat nichts mit Spass zu tun; با شوخ سَر ِ کار نَدارَد
- Spass machen;  .شوخى کَردَن، مِزاح ک
- es macht mir Spass; خوش مى گُذارَم
- ich dachte, er macht Spaß mit mir; خیال می کَردَم سَر به سَرَم می گُذارَد
- das machte keinen Spaß mehr; این جوری دیگه حَلاوَتی نَدارَد
- ihm macht die Arbeit Spass; او کارى را خوش داشت
- Spass beiseite; از شوخى گُذَشته
- er versteht keinen Spass; شوخى سَرَش نِمى شَوَد
- Spass und gute Laune; عَیاشى و خوش گُذَرانى
- als ob es mit ihm spassen würde; اِنگار که با او شوخى مى کُنَد
spassig; مُتَفَنُن، شوخى
- er machte eine spassige Bemerkung; او حَرف با مَزه اى زد
Spassmacher; این آدَم ِ خوش مَزه است، مازِح، دَلقَک، آدَم ِ شوخ
spät;
- spät in der Nacht; شَب ِ دیر وَقت
- wie spät ist es?; ساعَت چَند است؟
- Lieber zu spät, als nie; دیر آى و دُرُست آى
- wenn ich schon zu spät komme, dann wenigstens nicht mit leeren Händen; اَگَر دیر آمَدَم شیر آمَدَم
später; مِنبَعد، بَعداً
- früher oder später ...; این دَم آن دَم است که
- spätere Zeiten; اَیام ِ طَویل، زَمان ِ مُتأخِر
Spaten; بیل
Spatz; گُنجِشک
- Besser der Spatz in der Hand, als die Taube auf dem Dach; قَسَم ِ حَضرَت ِ عَباس را باوَر کُنَم یا دُم ِ خُروس را؟، سِیلى ِ نَقد به است از حَلواى ِ نَسیه، فُرصَتهاى ِ کوچِک را غَنیمَت بشُماریم
spazieren; هَوا خوردَن، گَردِش کَردَن
- Herumspazieren; گَردِش و خُرامِش
spazierengehen; گَردِش رَفتَن، قَدَم زَدَن
Spaziergang; گَردِش
- machen wir einen Spaziergang; بِرَویم قَدَم بِزَنیم، بِرَویم گَردِش
Spazierstock; چوب دَستى
Specht; دار کوب
Speck; شَحم، چَربى
speckig; چَرب
Spediteur; صاحِب ِ شِرکَت ِ حَمل و نَقل
Spedition; شِرکَت ِ حَمل و نَقل
Speer; نِیزه
Speerspitze; سِنان، نوک ِ نِیزه
Speerwerfen; نِیزه زَنى، پَرتاب ِ نِیزه
Speiche; پَره
- Radspeiche; پَرهٔ چَرخ
Speichel; ریق، تُف، بُزاق
- Speichel tropft von seinen Lefzen; آب ِ دَهانَش می اُفتَد، آب راندَن آن از خوردَن چیزی تُرش و جُز آن و مَجازا سَخت شیفتهٔ  چیزی شُدَن
Speichelfluss; سَيَلان ِ بُزاق
Speichellecker; تَمَلُق گو
Speicher; اَنبار، کُروج، مَخزَن
- Speicher (z.B. bei Computer); حافِظه
speichern; (präs.) اَنباشتَن (مى اَنبارَد)، ذَخیره کَردَن
Speicherung; ذَخیره
Speise; خوراک، غَذا
Speisekammer; گَنجه
Speisekarte; صورَت ِ غَذا
speisen; خوردَن
Speisereste (zwischen den Zähnen); خُلالَت
Speiseröhre; لولهٔ مَرى
Speisesaal; سالُن ِ غَذا خورى
Speisezutaten; چاشنى ِ غَذا
Speisung (von Hungrigen); اِطِعام ِ گُرُسنِگان
Spektakel; قیل و قال، سَر و صِدا
- Spektakel veranstalten; قیل و قال راه اَنداختَن
- mach kein Spektakel; جیغ و داد راه نَيَنداز
spektakulär; فوق العاده
Spektrallinie; خَط ِ طِیفى
Spektroskop; طِیف بین
Spektrum; طِیف
- Spektrum der Sonne; طِیف ِ شَمسى
- das ganze Spektrum der Völker; تَمام ِ گوناگونى ِ مِلَتها
Spekulant; مُحتَکِر، سوداگَر، سَفته باز، بورس باز
Spekulation;
- Spekulation, Vermutung; تَخَيُل، نَظَرپَردازى، گُمانه زَنى، تَوَهُم
- Börsenspekulation; سَفته بازى، سوداگَرى، بورس بازى، اِحتِکار
Spekulationskauf; اِحتِکار
spekulativ; تَخَيُلی، مُتَوَهِم
- spekulativ kaufen; اِحتِکار کَردَن
spekulieren; سَفته بازى کَردَن
Spelunke; پاتوق
Spelze; سه بَرگچه
Spende; تَبَرُع، اِعانه، هِدیه
- Spende (relig.); زَکات
spenden; هِدیه دادَن
- spenden (relig.); زَکات دادَن
spendenfreudig; پول خَرج کُن، دَست و دِل باز
spendieren; چیزى را دور گَرداندَن، هِدیه دادَن
- ich spendiere das, ich gebe das aus; پول ِ آن پاى ِ مَن است
Sperber; قِرقى
Sperling; گُنجِشک
Sperma; مَنى، آب ِ کَمَر
Spermatophyta; گیاهان ِ گُلدار، پِیدازادان
Sperre; سَد، راه بَند
- der Spieler hat eine Sperre für das nächste Spiel; بازى کُن مَمنوعيَت از شِرکَت دَر بازى بَعدى دارَد
- den Weg versperren; راه را سَد کَردَن
Sperrgebiet; مَنع ِ عُبور و مُرور، قُرُق
sperrig; جاگیر
- sperriges Gut; بادبار، بَدبار، کُلاه ِ جاگیر
Sperrklausel; مادهٔ مانِع بَراى ِ وُرود به مَجمَع یا قَرار دادى
- Sperrklausel (bei Wahl); مُقَرَرات ِ پَنج دَر صَد
Spesen; عَوارِض
Spezerei; حُنوط
- Verkauf von Spezerei; سَقَط فُروشی
Spezialisierung; تَخَصُص، تَخصیص، خُصوصى سازى
- berufliche Spezialisierung; تَخَصُص ِ شُغلى
Spezialist; ذى فَن، مُتَخَصِص
- für so etwas braucht man einen Spezialisten; کار ِ هَر بُز نیست خَرمَن کوفتَن، گاو ِ نَر مى خواهَد و مَرد ِ کُهَن
speziell; بالاِختِصاص، به ویژه، بِالاَخَص
- ... hat spezielle Eigenschaften; داراى ِ صِفات ِ اِختِصاصى دارَد، ـ صِفات ِ ویژه اى دارَد
- speziell im Ausland; بالاَخَص دَر خارِج از کِشوَر
- das eine Besonderheit dieser speziellen Gegend ist; که فَقَط خاص ِ این مَنطَقهٔ خاص است
- ..., die speziell für diesen Zweck errichtet wurde; که مَخصوص ِ این کار ساخته بود
- vom Allgemeinen zum Speziellen; از عام به خاص
spezifisch; ویژه، مَخصوص
- spezifisches Gewicht; وَزن ِ مَخصوص
spezifizieren; مُشَخَص کَردَن، مُعَيِن ک
sphärisch; کُرَوى، مُدَوَر
Sphinx; اَبوالهول
Spiegel; آئینه
- der Spiegel zersplitterte in 1000 Stücke; آیینه پول پول شُد
- Spiegel, der verzerrtes Spiegelbild herbringt; آئینهٔ دِق
- Alkoholspiegel; مِقدار ِ اَلکُل ِ مُحتَوى دَر خون
- Hohlspiegel; آئینهٔ مُقَعِر
- Wandspiegel; آئینهٔ قَدى، - تَمام قَد
- Wasserspiegel; سَطح ِ آب
- als wenn ich in einen Zerrspiegel schauen würde; مِثل ِ اینکه عَکس ِ مَن توی ِ آئینهٔ دِق اُفتاده باشَد
Spiegelbild; تَصویر ِ آئینه اى با طَرَفِین ِ مَعکوس، تَصویر ِ قَرینه
spiegeln (s. -); مُنَعکِس شُدَن
Spiegelung; اِنعِکاس
spiegelverkehrt; قَرینهٔ مَعکوس شُده
Spiel; بازى
- (Rad-) Spiel; لَقى ِ شُعاعى
- Ausscheidungsspiel; بازى ِ جام ِ حَذفى
- Hin- & Rückspiel; بازى ِ رَفت و آمَد
Spielarten;
- Fangen; گُرگَم به هَوا، گُرگَم به گَله مى بَرَم
- Würfelspiel; طاس بازى
- Versteckspiel; غايِب شُدَنَک، قائِم ِ موشَک
Spielautomat; دَستگاه ِ بُرد و باخت
Spielcasino; کازینو، قُمار خانه
spielen; بازى کَردَن
- am Strand spielen; ماسه بازی کَردَن
Spieler; قُمار باز
- Spieler (Sport); بازیکُن، بَزیگَر، وَرزِشکار
Spielkarte; وَرَق ِ گَنجَفه، ـ بازى
Spielplatz; زَمین ِ بازى ِ بَچه ها، مِیدان ِ بازى
Spielraum;
- Verhandlungsspielraum; حُدود ِ مُذاکِره، مِیدان ِ عَمَل دَر مُذاکِره
Spielzeug; اَسباب بازى، خَطوه
Spiess; حَربه، نِیزه، زوبین
- Spiess (zum Braten); سیخ
- den Spiess umdrehen; خَنجَررا بَر گَرداندَن، نِیزه را گ.، وَرَق را گ.، نَعَل وارونه زَدَن
Spiessbürger; آدَم ِ کوتاه نَظَر
Spin; اسپین
Spinat; اِسفِناج
Spindel; دوک
Spinne; عَنکَبوت، کارتَن
spinnen (Wolle); (präs.)  (تَنیدَن، ریستَن، دوک ریسیدَن (می ریسَد
Spinnen (von Wolle); غَزالى
Spinnennetz; تار ِ عَنکَبوت
Spinnerei; ریسَندِگى
Spinnrad; نَخ ریس، چَرخ ِ ریسَندِگى، چَرخ ِ دوک ریسی
Spion; جاسوس
- er wird als Spion von .. angesehen; او چِشم و گوش ِ فِلان به حِساب مى آيَد
Spionage; جاسوسى
Spionagering; شَبَکهٔ جاسوسى
Spionagesatellit; ماهوارهٔ اِکتِشافى
spionieren; جاسوسى کَردَن
- er spioniert mir dauernd nach; او خِیلی زاغ ِ سیاه مَرا چوب می زَنَد، او ذاغَم را ـ
- ausspionieren; سَر و گوشی ِ آب دادَن
Spirale; حَلزونى، مارپیچى
- Spirale (beim Polster); چَنبَره، فَنَر
- Doppelspirale; يِک مارپیچ ِ مُضاعِف شده
- spiralig drehen; چَنبَره زَدَن
Spiritus; اَلکُل ِ صَنعَتى
Spirituskocher; اُجاق ِ اَلکُلى
spitz; تیز، حاد، تُند
- mit spitzer Zunge; با مَتَلَک
Spitzbube; آدَم ِ رَذل، حَرامى، جیب بُر، کَلاش
- das sind alles die gleichen Spitzbuben; هَمه اش از آن آپاردیان
Spitzbüberei; عَیار، شوخى، شِیطانى
spitzbübisch; رَذیل
Spitze;
- der Politiker kam an die Spitze; سیاسَت مَدار بَر سَر ِ کار آمَد
- an der Spitze von ..; دَر رأس ِ..، دَر مُصَدَر ِ
- er ist Spitze; او عالى است، او دَرَجهٔ اَوَل است
- einer Sache die Spitze nehmen; تَنِش ِ دَرگیرى را رَفع کَردَن
- er reiste an der Spitze eines Komittees; او دَر رأس ِ يِک هَیأت سَفَر کَرد
- Nasenspitze; نوک ِ دَماغ
- Führungsspitze; رأس ِ رَهبَرى
- Schirmspitze; نوک ِ چَتر
Spitzbube; دَغاباز، دَغا
Spitzbüberei; دَغَلی
Spitzel; جاسوس، خَبَر چین
Spitzenkandidat; سَرآمَد ِ نامزَدها
Spitzenpolitiker; سیاسَتمَدار ِ اَرشَد
Spitzenposition;
- sie haben eine Spitzenposition; آنها مُصَدِر ِ کار مُهِم هَستَند
Spitzenreiter;
- Spitzenreiter sein;  .يَکه تاز بودَن، پیشتاز ب
Spitzenverkehr; ترافیک ِ حَدِاَکثَر
Spitzenwachstum (Pflanzen); رويِش ِ اِنتِهائى
Spitzer; تَراش کُن
- Bleistiftspitzer; مِداد تَراش
spitzfindig; موشِکاف
- er war ein spitzfindiger Typ; او يِک جور ِ خُرده شیشه بود
Spitzfindigkeit; خُرده شیشه
Spitzhacke; کُلَنگ
Spitzhut (aus Papier, als Strafe für Fehlverhalten); کُلاه ِ بوقی
Spitzname; اِسم ِ مُستَعار
spitzwinklig; با زاویهٔ تُند، ـ حاده
Spleen; ضَعَف، خُل
- das ist ein nervöser unheilbarer Spleen; این يِك تیك ِ عَصَبی است كه هیچ وَقت دُرُست بِشو نیست
spleissen; بِهَم تابیدن، بافتن ِ طِناب
Splint; اِشپیل
Splitt; سَنگریزه
Splitter; تَراشه
- Glassplitter; خُرده شیشه
Splittergruppen; گُروهَک ها، گُروهاى ِ مُتَفَرِقه
spontan; اِرتِجالى، خود اَنگیخته، بِصَرافَت ِ طَبع، ناگِهان، خودبِخود، فى اُلبَداهه
- spontane Arbeitsniederlegung; اِعتِصاب ِ خود اَنگیخته
- spontane Reaktion; واکُنِش ِ فى الفور
Spontanität; خود اَنگیختِگى، صَرافَت ِ طَبع، حَرَکَت ِ اِرتِجالى
sporadisch; گاه و بیگاه
Spore (biolog.); هاگ، هاگدان
- Sporen (z.B. am Stiefel); مَهمیز
- Sporen geben; پاشنه زَدَن، مَهمیز زَدَن، چَهار نَعل
Sporn; مَهمیز، سیخَک
Sport; وَرزِش
- Volkssport; وَرزِش ِ هَمِگانى
Sportler; وَرزِش کار
sportlich; وَرزِشى
Sportplatz; مِیدان ِ وَرزِش
Spot;
- Fernsehspot; تیزِر ِ تِلِویزیونی
Spott; تَمَسخُر، سُخریه، هَزل گوئى، طَعنه، فُحش
- man bedachte ihn mit Spott; يِک مُشت مَتَلَک بارِش کَرده بود
Spöttelei; اِستِهزاء، تَفحیک
spöttelnd; مَسخَره کَنان
spöttisch; تَمَسخُر آمیز
- er lachte spöttisch; او خَندهٔ تَمَسخُر آمیزى کَرد
- er warf eine spöttische Bemerkung ein; او مَزه ریخت، او به مَسخَره مى گُُفت
Spottverse; هَزلیات
Sprachanalytiker; زَبان کاو
Sprache; زَبان
- die Sprache bleibt ihm weg; از زَبان اُفتد
- zur Sprache finden; به حَرف آمَدَن
- ungehobelte Sprache; زَبان ِ لَشى، ـ غِیر ِ اَدَبى
- gehobene Sprache; زَبان ِ رَسمى ِ اَدَبى
- gesprochene Sprache; زَبانِ مُحاوِره
- geschriebene Sprache; زَبانِ نِوِشتاری
- er hat seine Sprache wiedergefunden;  .زَبانِش دِراز شُد، زَبانَش را باز کَرد، تَوانائى حَرف زَدَن را پِیدا ک
- Alltagssprache; زَبان ِ عُرف، ـ عامیانه
- künstliche Modellsprache; زَبان ِ آرمانى ِ ساختِگى
- Umgangssprache; زَبان ِ عامیانه، - مُتَداوِل ِ مَردُم
- Verkehrssprache; زَبان ِ رايِج
sprachlos;
- sie waren sprachlos vor Staunen; آنها اَنگُشت به دَهان مانده بودَند
Sprachschule; مَدرِسهٔ زَبان، کلاس ِ ـ
Sprachspielerei; چُپُل پیچُل
Sprachstrukturen; عِبارات ِ زَبانى
sprechen; صُحبَت کَردَن، حَرف زَدَن
- mit jem. sprechen;  .با کِسى صُحبَت کَردَن، ـ گُفتِگو ک
- undeutlich sprechen; زَبان ِ کِسی تُپُق می زَنَد
- Lass die Fäuste sprechen; مُشتِت را بِکار بيَنداز
- über seinen Glauben sprechen; ایمان ِ خودرا بِزبان آوَردَن
- ich spreche noch mit X; با فِلان حَرفَم مى شَوَد
- jem. zum Sprechen verhelfen; زَبان ِ کِسى را باز کَردَن، کِسى را به حَرف آوَردَن
